#,phrase,label,sentiment
1,putain fois travers,0,frustration
2,ras rien passer prévoir,0,frustration
3,gonfle rien fonctionne falloir,0,frustration
4,compliquer,0,frustration
5,vraiment goutte déborder supporter,0,frustration
6,rien passer veux,0,frustration
7,bout donne envie hurler,0,frustration
8,foutre rien passer imaginer,0,frustration
9,fou,0,frustration
10,nerf rien passer souhait,0,frustration
11,savoir faire fonctionner,0,frustration
12,retourn contre,0,frustration
13,vraiment mal tourner tourn mal,0,frustration
14,tape rien passer,0,frustration
15,rien passer frustrer crever,0,frustration
16,finit échec,0,frustration
17,taper tête contre rien souhait,0,frustration
18,solde échec cuisant,0,frustration
19,mettre rien fonctionner prévoyai,0,frustration
20,vraiment termin désastre,0,frustration
21,rien passer,0,frustration
22,frustrer haut touche transform catastrophe,0,frustration
23,donne envie envoyer rien déroul souhait,0,frustration
24,bout échouer lamentablement,0,frustration
25,rien passe vouloir,0,frustration
26,bord crise travers,0,frustration
27,péter rien fonctionner envisager,0,frustration
28,transforme fiasco,0,frustration
29,rien dérouler souhaitai,0,frustration
30,solde échec cuisant,0,frustration
31,rien passer planifier,0,frustration
32,bout retourn contre,0,frustration
33,vraiment rien passer désirai,0,frustration
34,dépasser travers,0,frustration
35,mettre rien fonctionner prévoyai,0,frustration
36,bout termin catastroph,0,frustration
37,frustrer rien déroul espérer,0,frustration
38,finit échec,0,frustration
39,rien passer souhait,0,frustration
40,bout travers,0,frustration
41,vraiment rien passe envisager,0,frustration
42,solde échec lamentable,0,frustration
43,tape rien dérouler,0,frustration
44,transforme désastre,0,frustration
45,frustrer rien passe vouloir,0,frustration
46,travers,0,frustration
47,donne envie envoyer rien fonctionner prévoyai,0,frustration
48,bout échouer lamentablement,0,frustration
49,taper tête contre rien passer souhaitai,0,frustration
50,bord crise termin fiasco,0,frustration
51,tape fichu machine café fonctionner jamais correctement,0,frustration
52,ras bol embouteillage interminable matin,0,frustration
53,poiss ordinateur décider faire mettre jour plein milieu perdre,0,frustration
54,mettre voisin cesse faire bruit musiqu fond,0,frustration
55,bord crise colis être livrer mauvais adresse,0,frustration
56,chef venir changer objectif projet préavis,0,frustration
57,dépasser téléphon décider mettre mode fantôme composer numéro aléatoire,0,frustration
58,galère vol être annuler dernier bloquer aucun solution rechang,0,frustration
59,vien passer heure préparer délicieux repas chat décider renverser terre clin,0,frustration
60,bout dentist être reporter fois,0,frustration
61,goutte déborder fournisseur livrer mauvais produire foi,0,frustration
62,donne envie envoyer vien passer heure écrir essai brillant ordinateur planter prévenir,0,frustration
63,bout collègue cesser concentrer,0,frustration
64,déception mois assister concert groupe annuler dernier moment,0,frustration
65,foutre tromper train retrouver ville inconnu,0,frustration
66,fournisseur internet décider faire travail maintenanc moment besoin connexion stable,0,frustration
67,passer heure préparer présentation soigner projecteur décider tomber pann moment bouton démarrag,0,frustration
68,voisin bureau voix haute concentrer,0,frustration
69,tap commander colis ligne semaine arrivé,0,frustration
70,bord crise voitur refuser démarrer énième fois,0,frustration
71,poiss arriver retard entretien cause accident rout,0,frustration
72,vraiment équipe football favorite venir perdre match dernier minute,0,frustration
73,passer semaine préparer voyage pleuvoir corde interruption,0,frustration
74,mettre téléphoner portable décider décharger complètement appel important,0,frustration
75,bout ordinateur portable refuser connecter réseau,0,frustration
76,envoyer cv dizaine recevoir aucun réponse,0,frustration
77,passer heure cuisiner plat délicieux invité peine toucher,0,frustration
78,dépasser vol être surbooké retrouver coincer aucun alternative voyage,0,frustration
79,galère perdu cler énième fois semaine,0,frustration
80,suivre instruction lettre pourtant gâteau complètement rater,0,frustration
81,bout voisin décider fête bruyant petit matin,0,frustration
82,frustrant travaillé dur obtenir promotion être attribuer dernier minute,0,frustration
83,bout gp guid endroit éloigné difficile,0,frustration
84,donne envie envoyer passer heure rédiger e-mail important partir spam,0,frustration
85,réveil sonner matin rater crucial,0,frustration
86,taper tête contre suivi régime strict semaine perdu gramm,0,frustration
87,chien grignoter chaussure préférer,0,frustration
88,foutre passer heure nettoyer maison enfant saccager minute,0,frustration
89,bout réfrigérateur décider tomber pann plein être,0,frustration
90,vraiment goutte déborder collègu cesse prendre crédit travail,0,frustration
91,mettre coiffeur être reporter dernier minute,0,frustration
92,ordinateur cesser planter perdre précieuse donnée,0,frustration
93,déception acheter billet concert prix exorbiter annuler dernier moment,0,frustration
